  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
   5.005312    0.184744    4.213781     30.0000     24.850000   4.4797252E+03
   5.006177    0.184758    4.213706     30.0000     24.850000   4.4908793E+03
   5.007128    0.184774    4.213628     30.0000     24.850000   4.5023906E+03
   5.008174    0.184790    4.213547     30.0000     24.850000   4.5143092E+03
   5.009325    0.184806    4.213463     30.0000     24.850000   4.5266809E+03
   5.010591    0.184824    4.213375     30.0000     24.850000   4.5395505E+03
   5.011983    0.184843    4.213283     30.0000     24.850000   4.5529606E+03
   5.013515    0.184862    4.213187     30.0000     24.850000   4.5669541E+03
   5.015200    0.184883    4.213086     30.0000     24.850000   4.5815732E+03
   5.017053    0.184904    4.212979     30.0000     24.850000   4.5968610E+03
   5.019092    0.184927    4.212867     30.0000     24.850000   4.6128604E+03
   5.021334    0.184951    4.212749     30.0000     24.850000   4.6296159E+03
   5.023801    0.184976    4.212625     30.0000     24.850000   4.6471722E+03
   5.026514    0.185002    4.212494     30.0000     24.850000   4.6655760E+03
   5.029499    0.185030    4.212356     30.0000     24.850000   4.6848744E+03
   5.032782    0.185059    4.212210     30.0000     24.850000   4.7051165E+03
   5.036394    0.185090    4.212056     30.0000     24.850000   4.7263525E+03
   5.040367    0.185123    4.211893     30.0000     24.850000   4.7486344E+03
   5.044737    0.185157    4.211721     30.0000     24.850000   4.7720155E+03
   5.049544    0.185193    4.211539     30.0000     24.850000   4.7965511E+03
   5.054831    0.185231    4.211346     30.0000     24.850000   4.8222977E+03
   5.060648    0.185272    4.211143     30.0000     24.850000   4.8493144E+03
   5.067046    0.185315    4.210927     30.0000     24.850000   4.8776611E+03
   5.074084    0.185360    4.210700     30.0000     24.850000   4.9074003E+03
   5.081826    0.185409    4.210460     30.0000     24.850000   4.9385955E+03
   5.090341    0.185461    4.210206     30.0000     24.850000   4.9713124E+03
   5.099709    0.185517    4.209938     30.0000     24.850000   5.0056174E+03
   5.110013    0.185577    4.209655     30.0000     24.850000   5.0415785E+03
   5.121348    0.185641    4.209356     30.0000     24.850000   5.0792631E+03
   5.133816    0.185710    4.209041     30.0000     24.850000   5.1187388E+03
   5.147531    0.185786    4.208710     30.0000     24.850000   5.1600705E+03
   5.162617    0.185867    4.208361     30.0000     24.850000   5.2033203E+03
   5.179212    0.185956    4.207993     30.0000     24.850000   5.2485441E+03
   5.197467    0.186053    4.207607     30.0000     24.850000   5.2957904E+03
   5.217547    0.186158    4.207202     30.0000     24.850000   5.3450972E+03
   5.239635    0.186273    4.206777     30.0000     24.850000   5.3964903E+03
   5.263932    0.186400    4.206333     30.0000     24.850000   5.4499806E+03
   5.290658    0.186537    4.205868     30.0000     24.850000   5.5055643E+03
   5.320057    0.186688    4.205382     30.0000     24.850000   5.5632225E+03
   5.352397    0.186853    4.204876     30.0000     24.850000   5.6229257E+03
   5.387970    0.187033    4.204349     30.0000     24.850000   5.6846394E+03
   5.427100    0.187229    4.203800     30.0000     24.850000   5.7483380E+03
   5.470143    0.187443    4.203229     30.0000     24.850000   5.8140238E+03
   5.517491    0.187674    4.202634     30.0000     24.850000   5.8817595E+03
   5.569573    0.187925    4.202011     30.0000     24.850000   5.9517141E+03
   5.626864    0.188195    4.201359     30.0000     24.850000   6.0242315E+03
   5.689884    0.188486    4.200669     30.0000     24.850000   6.0999263E+03
   5.759205    0.188798    4.199933     30.0000     24.850000   6.1798179E+03
   5.835459    0.189132    4.199136     30.0000     24.850000   6.2655068E+03
   5.919338    0.189488    4.198258     30.0000     24.850000   6.3594003E+03
   6.011605    0.189868    4.197270     30.0000     24.850000   6.4649805E+03
   6.113099    0.190272    4.196133     30.0000     24.850000   6.5871151E+03
   6.224743    0.190701    4.194792     30.0000     24.850000   6.7324242E+03
   6.347550    0.191157    4.193174     30.0000     24.850000   6.9097788E+03
   6.482639    0.191644    4.191175     30.0000     24.850000   7.1310443E+03
   6.631236    0.192164    4.188658     30.0000     24.850000   7.4120464E+03
   6.794693    0.192723    4.185433     30.0000     24.850000   7.7728914E+03
   6.974495    0.193327    4.181279     30.0000     24.850000   8.2340282E+03
   7.172278    0.193985    4.176040     30.0000     24.850000   8.7992152E+03
